Wavelength (nm),Intensity
558.748,85.524
559.026,85.486
559.304,85.448
559.581,85.427
559.859,85.405
560.137,85.419
560.415,85.402
560.693,85.356
560.971,85.324
561.249,85.315
561.527,85.294
561.804,85.267
562.082,85.223
562.36,85.212
562.638,85.163
562.916,85.139
563.194,85.106
563.472,85.093
563.75,85.085
564.028,85.085
564.306,85.085
564.584,85.06
564.862,85.044
565.14,85.025
565.418,85.014
565.696,84.995
565.973,84.998
566.251,85.003
566.529,85.02
566.807,85.06
567.085,85.109
567.363,85.12
567.641,85.077
567.919,85.044
568.197,85.041
568.475,85.052
568.753,85.044
569.031,85.047
569.309,85.085
569.587,85.147
569.865,85.199
570.143,85.182
570.421,85.128
570.7,85.071
570.978,85.052
571.256,85.055
571.534,85.041
571.812,85.022
572.09,84.995
572.368,84.968
572.646,84.949
572.924,84.96
573.202,84.982
573.48,85.025
573.758,85.055
574.036,85.088
574.314,85.104
574.592,85.104
574.87,85.098
575.148,85.033
575.426,84.971
575.704,84.898
575.983,84.903
576.261,84.941
576.539,84.979
576.817,84.974
577.095,84.933
577.373,84.879
577.651,84.805
577.929,84.729
578.207,84.632
578.485,84.542
578.763,84.423
579.041,84.292
579.319,84.16
579.598,84.021
579.876,83.891
580.154,83.723
580.432,83.476
580.71,83.158
580.988,82.757
581.266,82.361
581.544,81.983
581.822,81.655
582.1,81.427
582.378,81.289
582.656,81.229
582.934,81.183
583.212,81.115
583.49,81.039
583.768,80.958
584.046,80.885
584.325,80.836
584.603,80.811
584.881,80.822
585.159,80.83
585.437,80.817
585.715,80.752
585.993,80.73
586.271,80.692
586.549,80.676
586.827,80.602
587.105,80.575
587.383,80.581
587.661,80.583
587.939,80.619
588.217,80.659
588.495,80.7
588.773,80.716
589.051,80.711
589.329,80.716
589.607,80.659
589.885,80.578
590.163,80.526
590.44,80.513
590.718,80.586
590.996,80.657
591.274,80.741
591.552,80.781
591.83,80.795
592.108,80.743
592.386,80.657
592.664,80.567
592.942,80.513
593.22,80.445
593.497,80.404
593.775,80.388
594.053,80.391
594.331,80.393
594.609,80.391
594.887,80.404
595.164,80.385
595.442,80.355
595.72,80.296
595.998,80.271
596.276,80.26
596.553,80.274
596.831,80.277
597.109,80.228
597.387,80.147
597.664,80.046
597.942,79.959
598.22,79.891
598.498,79.848
598.775,79.802
599.053,79.745
599.331,79.653
599.608,79.579
599.886,79.482
600.164,79.324
600.441,79.17
600.719,79.02
600.996,78.885
601.274,78.73
601.552,78.554
601.829,78.364
602.107,78.179
602.384,78.063
602.662,77.998
602.939,77.941
603.217,77.837
603.494,77.74
603.772,77.677
604.049,77.645
604.327,77.591
604.604,77.425
604.882,77.219
605.159,76.994
605.436,76.809
605.714,76.676
605.991,76.592
606.268,76.524
606.546,76.432
606.823,76.302
607.1,76.196
607.378,76.063
607.655,75.944
607.932,75.735
608.209,75.512
608.487,75.301
608.764,75.151
609.041,75.04
609.318,74.964
609.595,74.94
609.873,74.931
610.15,74.931
610.427,74.959
610.704,74.994
610.981,74.999
611.258,74.931
611.535,74.79
611.812,74.644
612.089,74.53
612.366,74.511
612.643,74.554
612.92,74.649
613.197,74.736
613.474,74.763
613.751,74.731
614.027,74.674
614.304,74.609
614.581,74.541
614.858,74.465
615.135,74.4
615.412,74.278
615.688,74.161
615.965,74.101
616.242,74.017
616.518,73.884
616.795,73.659
617.072,73.496
617.348,73.385
617.625,73.339
617.902,73.339
618.178,73.398
618.455,73.442
618.731,73.48
619.008,73.483
619.284,73.491
619.561,73.453
619.837,73.355
620.114,73.249
620.39,73.13
620.666,73.01
620.943,72.888
621.219,72.788
621.495,72.766
621.772,72.812
622.048,72.872
622.324,72.88
622.6,72.785
622.876,72.688
623.153,72.59
623.429,72.53
623.705,72.416
623.981,72.338
624.257,72.302
624.533,72.365
624.809,72.481
625.085,72.601
625.361,72.671
625.637,72.636
625.913,72.579
626.189,72.533
626.465,72.549
626.741,72.541
627.016,72.522
627.292,72.451
627.568,72.4
627.844,72.37
628.12,72.365
628.395,72.365
628.671,72.397
628.947,72.449
629.222,72.492
629.498,72.514
629.773,72.576
630.049,72.614
630.324,72.62
630.6,72.563
630.875,72.525
631.151,72.479
631.426,72.376
631.702,72.264
631.977,72.18
632.252,72.123
632.528,72.093
632.803,72.034
633.078,71.958
633.353,71.846
633.628,71.773
633.904,71.703
634.179,71.629
634.454,71.505
634.729,71.404
635.004,71.304
635.279,71.193
635.554,71.07
635.829,70.916
636.104,70.783
636.379,70.653
636.654,70.53
636.929,70.427
637.203,70.324
637.478,70.248
637.753,70.132
638.028,70.001
638.303,69.817
638.577,69.594
638.852,69.32
639.126,69.03
639.401,68.756
639.676,68.569
639.95,68.482
640.225,68.46
640.499,68.444
640.774,68.373
641.048,68.224
641.322,68.004
641.597,67.795
641.871,67.698
642.145,67.703
642.42,67.73
642.694,67.728
642.968,67.681
643.242,67.614
643.517,67.532
643.791,67.481
644.065,67.44
644.339,67.413
644.613,67.34
644.887,67.215
645.161,67.019
645.435,66.865
645.709,66.762
645.983,66.645
646.256,66.471
646.53,66.252
646.804,66.053
647.078,65.812
647.352,65.538
647.625,65.31
647.899,65.123
648.173,65.009
648.446,64.938
648.72,64.946
648.993,65.02
649.267,65.069
649.54,65.074
649.814,65.033
650.087,64.979
650.361,64.927
650.634,64.906
650.907,64.914
651.181,64.917
651.454,64.944
651.727,64.998
652,65.155
652.274,65.302
652.547,65.459
652.82,65.568
653.093,65.66
653.366,65.687
653.639,65.684
653.912,65.611
654.185,65.495
654.458,65.364
654.731,65.288
655.004,65.248
655.277,65.185
655.549,65.123
655.822,65.104
656.095,65.123
656.368,65.163
656.64,65.185
656.913,65.182
657.186,65.169
657.458,65.134
657.731,65.079
658.003,64.982
658.276,64.879
658.548,64.789
658.821,64.705
659.093,64.667
659.366,64.594
659.638,64.507
659.91,64.404
660.183,64.347
660.455,64.238
660.727,64.124
660.999,64.035
661.271,64.046
661.544,64.04
661.816,64.002
662.088,63.88
662.36,63.769
662.632,63.674
662.904,63.658
663.176,63.628
663.448,63.568
663.72,63.481
663.991,63.449
664.263,63.392
664.535,63.316
664.807,63.218
665.079,63.185
665.35,63.147
665.622,63.082
665.894,62.996
666.165,62.917
666.437,62.822
666.709,62.751
666.98,62.74
667.252,62.751
667.523,62.762
667.795,62.792
668.066,62.822
668.337,62.838
668.609,62.759
668.88,62.656
669.151,62.54
669.423,62.453
669.694,62.374
669.965,62.306
670.236,62.239
670.508,62.201
670.779,62.163
671.05,62.135
671.321,62.065
671.592,61.981
671.863,61.886
672.134,61.783
672.405,61.65
672.676,61.509
672.947,61.384
673.218,61.335
673.489,61.273
673.759,61.229
674.03,61.115
674.301,61.012
674.572,60.866
674.843,60.73
675.113,60.564
675.384,60.418
675.655,60.239
675.925,60.076
676.196,59.889
676.466,59.672
676.737,59.455
677.007,59.191
677.278,58.931
677.548,58.57
677.819,58.196
678.089,57.786
678.36,57.458
678.63,57.167
678.9,56.983
679.171,56.839
679.441,56.768
679.711,56.69
679.981,56.6
680.252,56.505
680.522,56.364
680.792,56.169
681.062,55.903
681.332,55.691
681.602,55.534
681.872,55.417
682.142,55.282
682.412,55.135
682.682,54.991
682.952,54.899
683.222,54.837
683.492,54.801
683.762,54.72
684.032,54.647
684.302,54.584
684.572,54.511
684.842,54.397
685.111,54.234
685.381,54.136
685.651,54.066
685.921,54.036
686.19,54.017
686.46,53.987
686.73,53.933
686.999,53.811
687.269,53.71
687.538,53.607
687.808,53.529
688.078,53.436
688.347,53.341
688.617,53.219
688.886,53.103
689.156,52.975
689.425,52.818
689.694,52.644
689.964,52.514
690.233,52.424
690.503,52.316
690.772,52.215
691.041,52.099
691.311,51.982
691.58,51.814
691.849,51.692
692.118,51.594
692.388,51.54
692.657,51.418
692.926,51.279
693.195,51.079
693.464,50.872
693.733,50.663
694.003,50.517
694.272,50.414
694.541,50.354
694.81,50.313
695.079,50.259
695.348,50.199
695.617,50.115
695.886,49.993
696.155,49.86
696.424,49.703
696.693,49.565
696.962,49.396
697.231,49.239
697.5,49.095
697.769,48.973
698.038,48.886
698.306,48.851
698.575,48.851
698.844,48.821
699.113,48.74
699.382,48.59
699.65,48.455
699.919,48.333
700.188,48.249
700.457,48.164
700.726,48.086
700.994,47.993
701.263,47.88
701.532,47.711
701.8,47.519
702.069,47.274
702.338,47.082
702.606,46.908
702.875,46.767
703.144,46.566
703.412,46.325
703.681,46.048
703.949,45.823
704.218,45.627
704.487,45.435
704.755,45.226
705.024,45.014
705.292,44.811
705.561,44.588
705.829,44.314
706.098,44.008
706.366,43.649
706.635,43.251
706.903,42.792
707.172,42.309
707.44,41.869
707.709,41.454
707.977,41.036
708.246,40.6
708.514,40.209
708.783,39.81
709.051,39.362
709.319,38.901
709.588,38.483
709.856,38.136
710.125,37.743
710.393,37.354
710.661,36.969
710.93,36.654
